skill,avg_salary,min_salary,max_salary,job_count,salary_rank
pytorch,1978125,350000,5500000,8,1
jenkins,1899167,300000,6000000,12,2
tensorflow,1820833,350000,5500000,6,3
big data,1800000,500000,3500000,4,4
machine learning,1553298,50000,5500000,47,5
computer vision,1514286,400000,4500000,7,6
spring,1450000,200000,3500000,3,7
kubernetes,1441622,100000,6000000,37,8
docker,1409632,60000,6000000,34,9
ansible,1390000,300000,3500000,6,10
gcp,1385000,400000,3500000,15,11
ci/cd,1375385,100000,4500000,39,12
sql,1372727,100000,3500000,22,13
terraform,1368906,60000,3500000,16,14
azure,1356296,50000,4500000,27,15
nlp,1350000,400000,2500000,5,16
agile,1344167,60000,4000000,15,17
data science,1343571,50000,3500000,7,18
deep learning,1320000,400000,2400000,5,19
aws,1317689,60000,6000000,53,20
